Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
34.206263|	23.819252|	0.000000|	5.420893|	0.000000|	16.812119|	7.115439|	0.000000|	1.707411|	0.000000|	
34.204208|	23.811944|	0.000000|	5.499438|	0.000000|	16.714164|	7.064443|	0.000000|	1.690585|	0.000000|	
34.176140|	23.791303|	0.000000|	5.413870|	0.000000|	16.801275|	7.105490|	0.000000|	1.699387|	0.000000|	
34.168125|	23.774524|	0.000000|	5.471432|	0.000000|	16.799990|	7.105384|	0.000000|	1.681823|	0.000000|	
34.200351|	23.812371|	0.000000|	5.448312|	0.000000|	16.802662|	7.108256|	0.000000|	1.698074|	0.000000|	
34.176890|	23.785328|	0.000000|	5.471994|	0.000000|	16.803709|	7.100662|	0.000000|	1.698691|	0.000000|	
34.180258|	23.791646|	0.000000|	5.447617|	0.000000|	16.801659|	7.100500|	0.000000|	1.690262|	0.000000|	
34.262551|	23.919703|	0.000000|	5.476561|	0.000000|	16.809352|	7.107313|	0.000000|	1.725354|	0.000000|	
34.167127|	23.780233|	0.000000|	5.444391|	0.000000|	16.804383|	7.102420|	0.000000|	1.690304|	0.000000|	
34.198360|	23.809468|	0.000000|	5.447711|	0.000000|	16.807326|	7.107401|	0.000000|	1.683515|	0.000000|	
34.173599|	23.779230|	0.000000|	5.451424|	0.000000|	16.805993|	7.105594|	0.000000|	1.715285|	0.000000|	
34.201268|	23.799269|	0.000000|	5.503909|	0.000000|	16.792516|	7.093755|	0.000000|	1.699301|	0.000000|	
34.227507|	23.827874|	0.000000|	5.418792|	0.000000|	16.809646|	7.108349|	0.000000|	1.707670|	0.000000|	
34.204630|	23.802943|	0.000000|	5.503888|	0.000000|	16.798163|	7.095665|	0.000000|	1.682123|	0.000000|	
34.282534|	23.928042|	0.000000|	5.163132|	0.000000|	16.822810|	7.117787|	0.000000|	1.696710|	0.000000|	
34.194920|	23.800440|	0.000000|	5.389764|	0.000000|	16.798676|	7.098648|	0.000000|	1.689779|	0.000000|	
34.170523|	23.771723|	0.000000|	5.474521|	0.000000|	16.723070|	7.068602|	0.000000|	1.673624|	0.000000|	
19.580341|	13.052193|	0.000000|	3.275717|	0.000000|	10.342170|	4.164824|	0.000000|	1.168994|	0.000000|	
3.279884|	0.900875|	0.000000|	0.707219|	0.000000|	3.194733|	0.882617|	0.000000|	0.599845|	0.000000|	
3.063087|	0.858964|	0.000000|	0.664629|	0.000000|	2.831476|	0.734254|	0.000000|	0.573934|	0.000000|	
4.181171|	1.195369|	0.000000|	0.708227|	0.000000|	4.056440|	1.125275|	0.000000|	0.657317|	0.000000|	
2.725804|	0.726269|	0.000000|	0.632148|	0.000000|	2.661429|	0.697659|	0.000000|	0.551720|	0.000000|	
7.569164|	3.636686|	0.000000|	0.891351|	0.000000|	6.157357|	2.287256|	0.000000|	0.814583|	0.000000|	
2.813360|	0.741533|	0.000000|	0.612035|	0.000000|	2.758198|	0.722439|	0.000000|	0.570875|	0.000000|	
2.935964|	0.815727|	0.000000|	0.699771|	0.000000|	2.869003|	0.787881|	0.000000|	0.573693|	0.000000|	
2.640216|	0.687012|	0.000000|	0.727714|	0.000000|	2.584518|	0.665628|	0.000000|	0.561997|	0.000000|	
